tweet_id;text;science_related;scientific_claim;scientific_reference;scientific_context;text_clean
316669998137483264;Knees are a bit sore. i guess that's a sign that my recent treadmilling is working;0;0.0;0.0;0.0;['knee', 'bit', 'sore', 'guess', 'sign', 'recent', 'treadmilling', 'work']
319090866545385472;McDonald's breakfast stop then the gym 🏀💪;0;0.0;0.0;0.0;['mcdonald', 'breakfast', 'stop', 'gym']
322030931022065664;Can any Gynecologist with Cancer Experience explain the dangers of Transvaginal Douching with Fluoride or other toxins such as Dioxin? #PDX;1;1.0;0.0;0.0;['gynecologist', 'cancer', 'experience', 'explain', 'danger', 'transvaginal', 'douching', 'fluoride', 'toxin', 'dioxin', 'HASHTAG']
322694830620807168;Couch-lock highs lead to sleeping in the couch. Gotta stop doing this shit.;1;1.0;0.0;0.0;['couchlock', 'high', 'lead', 'sleep', 'couch', 'get', 'stop', 'shit']
328524426658328576;Does daily routine help prevent problems with bipolar disorder http://t.co/XGUfUDoLJB;1;1.0;0.0;0.0;['routine', 'help', 'prevent', 'problem', 'bipolar', 'disorder', 'url']
331396203700944896;The Impact of Infertility on You and Your Relationship http://t.co/7pF7Z0wH8f;0;0.0;0.0;0.0;['impact', 'infertility', 'relationship', 'url']
333266791960809472;“Traffic Jam” In Brain’s Neurons Could Be Cause Of Statin-Related Cognitive Decline http://t.co/kQ3XPdePKX;1;1.0;1.0;1.0;['traffic', 'jam', 'brain', 'neuron', 'cause', 'statinrelate', 'cognitive', 'decline', 'url']
334282732085587968;Can playing more games improve lives and save the world? by @chris_pelle via @PostArcade http://t.co/uEtVu099Ad #CDA30;1;1.0;0.0;0.0;['play', 'game', 'improve', 'life', 'save', 'world', 'USER', 'USER', 'url', 'HASHTAG']
334350038090276864;The effect of climate change on iceberg production by Greenland glaciers http://t.co/CtnPhcmD7c;1;0.0;1.0;1.0;['effect', 'climate', 'change', 'iceberg', 'production', 'greenland', 'glacier', 'url']
335542235452014594;@HankAzaria @TheSimpsons oh loneliness and cheeseburgers are a dangerous mix;0;0.0;0.0;0.0;['USER', 'USER', 'loneliness', 'cheeseburger', 'dangerous', 'mix']
336431788618551297;#bbcsportsday Honestly think Liverpool are a left back and a right wing away from CL. Fabio Coentrao and James Rodriguez?;0;0.0;0.0;0.0;['HASHTAG', 'think', 'liverpool', 'left', 'right', 'wing', 'fabio', 'coentrao', 'james', 'rodriguez']
339453990179844097;@bpkelly12 if that damn book lady decides to stop being a fuckin retard ill be out of here in 2 days;0;0.0;0.0;0.0;['USER', 'damn', 'book', 'lady', 'decide', 'stop', 'fuckin', 'retard', 'day']
339558700970815488;Science sucks.;0;0.0;0.0;0.0;['science', 'suck']
342204279160987648;http://t.co/eJlnUg0Gog Pay attention to classification essays format;0;0.0;0.0;0.0;['url', 'pay', 'attention', 'classification', 'essay', 'format']
344256820552011777;@RepCohen @SenAlexander @SenBobCorker pls support #NIH funding to help fight #pancreaticcancer @PanCAN @PanCANMemphis #ifight4MyDad;1;0.0;0.0;1.0;['user', 'USER', 'USER', 'support', 'HASHTAG', 'funding', 'help', 'fight', 'HASHTAG', 'USER', 'USER', 'HASHTAG']
344906283360591873;Poverty is the greatest cause behind child labour. #RisePakistan;1;1.0;0.0;0.0;['poverty', 'great', 'cause', 'child', 'labour', 'HASHTAG']
